trialN,images1,duration1,images2,duration2,images3,duration3,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,image1.started,image1.stopped,key_resp_1.keys,key_resp_1.corr,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,taskSamples\A6_1.png,8,None,0,None,0,1,0,0,0,0,15.183700799942017,None,15.93829459999688,None,None,0,15.93829459999688,None,23.970559619937557,None,23.970559619937557,None,None,0,23.970559619937557,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
2,taskSamples\A20_2.png,8,None,0,None,0,2,0,1,1,1,23.97102089994587,None,24.77538459992502,None,None,0,24.77538459992502,None,32.797364020009994,None,32.797364020009994,None,None,0,32.797364020009994,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
3,taskSamples\B17.png,5,None,0,None,0,2,0,2,2,2,32.79734539997298,None,33.61879510001745,None,None,0,33.61879510001745,None,38.62006391991163,None,38.62006391991163,None,None,0,38.62006391991163,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
4,taskSamples\B8.png,5,None,0,None,0,2,0,3,3,3,38.61916589993052,None,39.42395419999957,None,None,0,39.42395419999957,None,44.45290281994967,None,44.45290281994967,None,None,0,44.45290281994967,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
5,taskSamples\C4_Spatial_ADD_1.png,8,taskSamples\C4_Spatial_ADD_2.png,2,taskSamples\C4_Spatial_ADD_3.png,5,1,0,4,4,4,44.45288899994921,None,45.2744979999261,None,None,0,45.2744979999261,None,53.293875899980776,None,55.312407099991105,None,None,0,55.312407099991105,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
6,taskSamples\C3_Episodic_SUB_1.png,8,taskSamples\C3_Episodic_SUB_2.png,2,taskSamples\C3_Episodic_SUB_3.png,5,1,0,5,5,5,60.31785469991155,None,61.139495600014925,None,None,0,61.139495600014925,None,69.19665669999085,None,71.23180939990561,None,None,0,71.23180939990561,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
7,taskSamples\B18.png,5,None,0,None,0,2,0,6,6,6,76.25281430000905,None,77.05818329995964,None,None,0,77.05818329995964,None,82.09017152000452,None,82.09017152000452,None,None,0,82.09017152000452,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
8,taskSamples\B2.png,5,None,0,None,0,2,0,7,7,7,82.09117489994969,None,82.89529769995715,None,None,0,82.89529769995715,None,87.90352311996976,None,87.90352311996976,None,None,0,87.90352311996976,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
9,taskSamples\A14_2.png,8,None,0,None,0,2,0,8,8,8,87.90355049993377,None,88.72492930002045,None,None,0,88.72492930002045,None,96.74406311997446,None,96.74406311997446,None,None,0,96.74406311997446,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
10,taskSamples\A15_2.png,8,None,0,None,0,2,0,9,9,9,96.74401739996392,None,97.54860139999073,None,None,0,97.54860139999073,None,105.57827251997078,None,105.57827251997078,None,None,0,105.57827251997078,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
11,taskSamples\B1.png,5,None,0,None,0,2,0,10,10,10,105.5782131999731,None,106.39966649992857,None,None,0,106.39966649992857,None,111.41765121998033,None,111.41765121998033,None,None,0,111.41765121998033,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
12,taskSamples\B11.png,5,None,0,None,0,2,0,11,11,11,111.41751229995862,None,112.22145710000768,None,None,0,112.22145710000768,None,117.23393082000548,None,117.23393082000548,None,None,0,117.23393082000548,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
13,taskSamples\A1_1.png,8,None,0,None,0,2,0,12,12,12,117.23383149993606,None,118.05528329999652,None,None,0,118.05528329999652,None,126.06114601994632,None,126.06114601994632,None,None,0,126.06114601994632,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
14,taskSamples\A9_1.png,8,None,0,None,0,1,0,13,13,13,126.06112739990931,None,126.86562359996606,None,None,0,126.86562359996606,None,134.8653867199202,None,134.8653867199202,None,None,0,134.8653867199202,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
15,taskSamples\C8_Spatial_SUB_1.png,8,taskSamples\C8_Spatial_SUB_2.png,2,taskSamples\C8_Spatial_SUB_3.png,5,1,0,14,14,14,134.86521229997743,None,135.68855929991696,None,None,0,135.68855929991696,None,143.7251686999807,None,145.74448969995137,None,None,0,145.74448969995137,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
16,taskSamples\C9_Episodic_SUB_1.png,8,taskSamples\C9_Episodic_SUB_2.png,2,taskSamples\C9_Episodic_SUB_3.png,5,2,0,15,15,15,150.76473850000184,None,151.58728809992317,None,None,0,151.58728809992317,None,159.62350909993984,None,161.65864419995341,None,None,0,161.65864419995341,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
17,taskSamples\A4_1.png,8,None,0,None,0,2,0,16,16,16,166.67882009991445,None,167.50027019996196,None,None,0,167.50027019996196,None,175.5158104199101,None,175.5158104199101,None,None,0,175.5158104199101,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
18,taskSamples\A18_2.png,8,None,0,None,0,1,0,17,17,17,175.5158392000012,None,176.32065060001332,None,None,0,176.32065060001332,None,184.34038662001257,None,184.34038662001257,None,None,0,184.34038662001257,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
19,taskSamples\B5.png,5,None,0,None,0,2,0,18,18,18,184.3401249999879,None,185.16075189993717,None,None,0,185.16075189993717,None,190.17848501993575,None,190.17848501993575,None,None,0,190.17848501993575,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
20,taskSamples\B13.png,5,None,0,None,0,2,0,19,19,19,190.17772679997142,None,190.98328259994742,None,None,0,190.98328259994742,None,196.00888671992578,None,196.00888671992578,None,None,0,196.00888671992578,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
21,taskSamples\A7_1.png,8,None,0,None,0,2,0,20,20,20,196.0080520999618,None,196.83069739991333,None,None,0,196.83069739991333,None,204.85063351992284,None,204.85063351992284,None,None,0,204.85063351992284,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
22,taskSamples\B20.png,5,None,0,None,0,2,0,21,21,21,204.85137469996698,None,205.67253539990634,None,None,0,205.67253539990634,None,210.70161721993935,None,210.70161721993935,None,None,0,210.70161721993935,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
23,taskSamples\C2_Spatial_SUB_1.png,8,taskSamples\C2_Spatial_SUB_2.png,2,taskSamples\C2_Spatial_SUB_3.png,5,2,0,22,22,22,210.70153660001233,None,211.5230154999299,None,None,0,211.5230154999299,None,219.54357919993345,None,221.57783449999988,None,None,0,221.57783449999988,None,,001,2021_Aug_18_1630,taskSwitching,2021.2.1,59.996928161825835,
,,,,,,,,,,,,226.5989725999534,None,,,,,,,,,,,,,,,,,,,,,
